ticker,datetime,rsi,ma20,ma50,recommendation,ema20,price_change
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,,,
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,,
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,,
AAPL,2025-06-13 19:30:00+00:00,35.69618979,198.3590492,201.0396994,Hold,,
EURUSD=X,2025-06-13 21:00:00+00:00,54.00971571,1.153976762,1.154982605,Hold,,
GC=F,2025-06-13 20:00:00+00:00,60.53266201,3448.365015,3415.841992,Hold,,
CL=F,2025-06-13 20:00:00+00:00,57.32826765,73.14799995,70.13460007,Hold,,
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,,
AAPL,2025-06-13 19:30:00+00:00,35.69618979,198.3590492,201.0396994,Hold,,
EURUSD=X,2025-06-13 21:00:00+00:00,54.00971571,1.153976762,1.154982605,Hold,,
GC=F,2025-06-13 20:00:00+00:00,60.53266201,3448.365015,3415.841992,Hold,,
CL=F,2025-06-13 20:00:00+00:00,57.32826765,73.14799995,70.13460007,Hold,,
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,,323.2610484,-0.51827952
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,323.2610484,-0.005182795
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,323.2610484,-0.51827952
TSLA,2025-06-13 19:30:00+00:00,53.79682135,325.0023453,314.1925281,Hold,323.2610484,-0.51827952
AAPL,2025-06-13 19:30:00+00:00,35.69618979,198.3590492,201.0396994,Hold,198.3530053,0.117213192
EURUSD=X,2025-06-13 21:00:00+00:00,54.00971571,1.153976762,1.154982605,Hold,1.154765283,-0.023113646
GC=F,2025-06-13 20:00:00+00:00,60.53266201,3448.365015,3415.841992,Hold,3443.258036,0.014483937
CL=F,2025-06-13 20:00:00+00:00,57.32826765,73.14799995,70.13460007,Hold,72.43055959,0.068375569
